Precinct_name,candidate_name,Contest_title,Sum of total_votes
149,"Gregorio ""Greg"" Casar","DISTRICT 4, AUSTIN CITY COUNCIL, CITY OF AUSTIN",279
149,Hillary Procknow,"AT LARGE POSITION 9, AISD",90
149,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",103
149,Kendall Pace,"AT LARGE POSITION 9, AISD",141
149,Laura Pressley,"DISTRICT 4, AUSTIN CITY COUNCIL, CITY OF AUSTIN",76
149,Mike Martinez,"MAYOR, CITY OF AUSTIN",188
149,Steve Adler,"MAYOR, CITY OF AUSTIN",165
151,"David ""D"" Thompson","DISTRICT 1, SINGLE MEMBER TRUSTEE, AISD",140
151,DeWayne Lofton,"DISTRICT 1, AUSTIN CITY COUNCIL, CITY OF AUSTIN",105
151,Edmund T. Gordon,"DISTRICT 1, SINGLE MEMBER TRUSTEE, AISD",280
151,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",258
151,Hillary Procknow,"AT LARGE POSITION 9, AISD",129
151,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",127
151,Kendall Pace,"AT LARGE POSITION 9, AISD",243
151,Mike Martinez,"MAYOR, CITY OF AUSTIN",201
151,Ora Houston,"DISTRICT 1, AUSTIN CITY COUNCIL, CITY OF AUSTIN",369
151,Steve Adler,"MAYOR, CITY OF AUSTIN",279
152,"David ""D"" Thompson","DISTRICT 1, SINGLE MEMBER TRUSTEE, AISD",171
152,Edmund T. Gordon,"DISTRICT 1, SINGLE MEMBER TRUSTEE, AISD",409
152,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",260
152,Hillary Procknow,"AT LARGE POSITION 9, AISD",173
152,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",257
152,Kendall Pace,"AT LARGE POSITION 9, AISD",343
152,Mike Martinez,"MAYOR, CITY OF AUSTIN",436
152,Steve Adler,"MAYOR, CITY OF AUSTIN",286
153,"David ""D"" Thompson","DISTRICT 1, SINGLE MEMBER TRUSTEE, AISD",17
153,DeWayne Lofton,"DISTRICT 1, AUSTIN CITY COUNCIL, CITY OF AUSTIN",95
153,Edmund T. Gordon,"DISTRICT 1, SINGLE MEMBER TRUSTEE, AISD",29
153,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",176
153,Hillary Procknow,"AT LARGE POSITION 9, AISD",18
153,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",166
153,Kendall Pace,"AT LARGE POSITION 9, AISD",27
153,Mike Martinez,"MAYOR, CITY OF AUSTIN",114
153,Ora Houston,"DISTRICT 1, AUSTIN CITY COUNCIL, CITY OF AUSTIN",235
153,Steve Adler,"MAYOR, CITY OF AUSTIN",231
154,DeWayne Lofton,"DISTRICT 1, AUSTIN CITY COUNCIL, CITY OF AUSTIN",70
154,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",123
154,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",95
154,Mike Martinez,"MAYOR, CITY OF AUSTIN",82
154,Ora Houston,"DISTRICT 1, AUSTIN CITY COUNCIL, CITY OF AUSTIN",165
154,Steve Adler,"MAYOR, CITY OF AUSTIN",163
156,"David ""D"" Thompson","DISTRICT 1, SINGLE MEMBER TRUSTEE, AISD",139
156,DeWayne Lofton,"DISTRICT 1, AUSTIN CITY COUNCIL, CITY OF AUSTIN",34
156,Edmund T. Gordon,"DISTRICT 1, SINGLE MEMBER TRUSTEE, AISD",165
156,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",334
156,"Gregorio ""Greg"" Casar","DISTRICT 4, AUSTIN CITY COUNCIL, CITY OF AUSTIN",449
156,Hillary Procknow,"AT LARGE POSITION 9, AISD",217
156,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",286
156,Kendall Pace,"AT LARGE POSITION 9, AISD",378
156,Laura Pressley,"DISTRICT 4, AUSTIN CITY COUNCIL, CITY OF AUSTIN",196
156,Mike Martinez,"MAYOR, CITY OF AUSTIN",387
156,Ora Houston,"DISTRICT 1, AUSTIN CITY COUNCIL, CITY OF AUSTIN",142
156,Steve Adler,"MAYOR, CITY OF AUSTIN",446
160,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",3
160,"J.E. ""Jeb"" Boyt","DISTRICT 7, AUSTIN CITY COUNCIL, CITY OF AUSTIN",1
160,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",0
160,Leslie Pool,"DISTRICT 7, AUSTIN CITY COUNCIL, CITY OF AUSTIN",4
160,Mike Martinez,"MAYOR, CITY OF AUSTIN",0
160,Steve Adler,"MAYOR, CITY OF AUSTIN",6
164,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",62
164,"Gregorio ""Greg"" Casar","DISTRICT 4, AUSTIN CITY COUNCIL, CITY OF AUSTIN",122
164,Hillary Procknow,"AT LARGE POSITION 9, AISD",57
164,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",88
164,Kendall Pace,"AT LARGE POSITION 9, AISD",86
164,Laura Pressley,"DISTRICT 4, AUSTIN CITY COUNCIL, CITY OF AUSTIN",62
164,Mike Martinez,"MAYOR, CITY OF AUSTIN",94
164,Steve Adler,"MAYOR, CITY OF AUSTIN",94
200,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",166
200,Hillary Procknow,"AT LARGE POSITION 9, AISD",122
200,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",170
200,Kendall Pace,"AT LARGE POSITION 9, AISD",221
200,Mike Martinez,"MAYOR, CITY OF AUSTIN",306
200,Steve Adler,"MAYOR, CITY OF AUSTIN",199
202,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",138
202,Hillary Procknow,"AT LARGE POSITION 9, AISD",88
202,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",171
202,Kendall Pace,"AT LARGE POSITION 9, AISD",225
202,Mike Martinez,"MAYOR, CITY OF AUSTIN",213
202,Steve Adler,"MAYOR, CITY OF AUSTIN",225
203,DeWayne Lofton,"DISTRICT 1, AUSTIN CITY COUNCIL, CITY OF AUSTIN",0
203,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",0
203,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",2
203,Mike Martinez,"MAYOR, CITY OF AUSTIN",0
203,Ora Houston,"DISTRICT 1, AUSTIN CITY COUNCIL, CITY OF AUSTIN",2
203,Steve Adler,"MAYOR, CITY OF AUSTIN",2
205,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",69
205,Hillary Procknow,"AT LARGE POSITION 9, AISD",35
205,"J.E. ""Jeb"" Boyt","DISTRICT 7, AUSTIN CITY COUNCIL, CITY OF AUSTIN",59
205,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",93
205,Kendall Pace,"AT LARGE POSITION 9, AISD",43
205,Leslie Pool,"DISTRICT 7, AUSTIN CITY COUNCIL, CITY OF AUSTIN",125
205,Mike Martinez,"MAYOR, CITY OF AUSTIN",67
205,Steve Adler,"MAYOR, CITY OF AUSTIN",129
206,DeWayne Lofton,"DISTRICT 1, AUSTIN CITY COUNCIL, CITY OF AUSTIN",0
206,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",38
206,Hillary Procknow,"AT LARGE POSITION 9, AISD",26
206,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",26
206,Kendall Pace,"AT LARGE POSITION 9, AISD",40
206,Mike Martinez,"MAYOR, CITY OF AUSTIN",35
206,Ora Houston,"DISTRICT 1, AUSTIN CITY COUNCIL, CITY OF AUSTIN",0
206,Steve Adler,"MAYOR, CITY OF AUSTIN",56
207,Don Zimmerman,"DISTRICT 6, AUSTIN CITY COUNCIL, CITY OF AUSTIN",72
207,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",152
207,Hillary Procknow,"AT LARGE POSITION 9, AISD",32
207,"J.E. ""Jeb"" Boyt","DISTRICT 7, AUSTIN CITY COUNCIL, CITY OF AUSTIN",85
207,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",193
207,"James ""Jimmy"" Flannigan","DISTRICT 6, AUSTIN CITY COUNCIL, CITY OF AUSTIN",140
207,Kendall Pace,"AT LARGE POSITION 9, AISD",97
207,Leslie Pool,"DISTRICT 7, AUSTIN CITY COUNCIL, CITY OF AUSTIN",111
207,Mike Martinez,"MAYOR, CITY OF AUSTIN",145
207,Steve Adler,"MAYOR, CITY OF AUSTIN",289
208,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",25
208,Hillary Procknow,"AT LARGE POSITION 9, AISD",14
208,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",17
208,Kendall Pace,"AT LARGE POSITION 9, AISD",28
208,Mike Martinez,"MAYOR, CITY OF AUSTIN",33
208,Steve Adler,"MAYOR, CITY OF AUSTIN",39
209,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",52
209,"Gregorio ""Greg"" Casar","DISTRICT 4, AUSTIN CITY COUNCIL, CITY OF AUSTIN",82
209,Hillary Procknow,"AT LARGE POSITION 9, AISD",38
209,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",45
209,Kendall Pace,"AT LARGE POSITION 9, AISD",53
209,Laura Pressley,"DISTRICT 4, AUSTIN CITY COUNCIL, CITY OF AUSTIN",45
209,Mike Martinez,"MAYOR, CITY OF AUSTIN",52
209,Steve Adler,"MAYOR, CITY OF AUSTIN",75
210,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",207
210,Hillary Procknow,"AT LARGE POSITION 9, AISD",75
210,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",150
210,Kendall Pace,"AT LARGE POSITION 9, AISD",357
210,Mandy Dealey,"DISTRICT 10, AUSTIN CITY COUNCIL, CITY OF AUSTIN",289
210,Mike Martinez,"MAYOR, CITY OF AUSTIN",137
210,Sheri Gallo,"DISTRICT 10, AUSTIN CITY COUNCIL, CITY OF AUSTIN",286
210,Steve Adler,"MAYOR, CITY OF AUSTIN",447
211,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",93
211,"Gregorio ""Greg"" Casar","DISTRICT 4, AUSTIN CITY COUNCIL, CITY OF AUSTIN",18
211,Hillary Procknow,"AT LARGE POSITION 9, AISD",74
211,"J.E. ""Jeb"" Boyt","DISTRICT 7, AUSTIN CITY COUNCIL, CITY OF AUSTIN",72
211,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",99
211,Kendall Pace,"AT LARGE POSITION 9, AISD",90
211,Laura Pressley,"DISTRICT 4, AUSTIN CITY COUNCIL, CITY OF AUSTIN",13
211,Leslie Pool,"DISTRICT 7, AUSTIN CITY COUNCIL, CITY OF AUSTIN",126
211,Mike Martinez,"MAYOR, CITY OF AUSTIN",74
211,Steve Adler,"MAYOR, CITY OF AUSTIN",169
212,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",192
212,Hillary Procknow,"AT LARGE POSITION 9, AISD",0
212,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",122
212,Kendall Pace,"AT LARGE POSITION 9, AISD",0
212,Mandy Dealey,"DISTRICT 10, AUSTIN CITY COUNCIL, CITY OF AUSTIN",149
212,Mike Martinez,"MAYOR, CITY OF AUSTIN",41
212,Sheri Gallo,"DISTRICT 10, AUSTIN CITY COUNCIL, CITY OF AUSTIN",377
212,Steve Adler,"MAYOR, CITY OF AUSTIN",498
213,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",0
213,Hillary Procknow,"AT LARGE POSITION 9, AISD",0
213,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",0
213,Kendall Pace,"AT LARGE POSITION 9, AISD",0
213,Mandy Dealey,"DISTRICT 10, AUSTIN CITY COUNCIL, CITY OF AUSTIN",0
213,Mike Martinez,"MAYOR, CITY OF AUSTIN",0
213,Sheri Gallo,"DISTRICT 10, AUSTIN CITY COUNCIL, CITY OF AUSTIN",0
213,Steve Adler,"MAYOR, CITY OF AUSTIN",0
214,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",306
214,Hillary Procknow,"AT LARGE POSITION 9, AISD",82
214,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",171
214,Kendall Pace,"AT LARGE POSITION 9, AISD",487
214,Mandy Dealey,"DISTRICT 10, AUSTIN CITY COUNCIL, CITY OF AUSTIN",233
214,Mike Martinez,"MAYOR, CITY OF AUSTIN",157
214,Sheri Gallo,"DISTRICT 10, AUSTIN CITY COUNCIL, CITY OF AUSTIN",183
214,Steve Adler,"MAYOR, CITY OF AUSTIN",576
215,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",8
215,"J.E. ""Jeb"" Boyt","DISTRICT 7, AUSTIN CITY COUNCIL, CITY OF AUSTIN",0
215,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",11
215,Leslie Pool,"DISTRICT 7, AUSTIN CITY COUNCIL, CITY OF AUSTIN",0
215,Mike Martinez,"MAYOR, CITY OF AUSTIN",0
215,Steve Adler,"MAYOR, CITY OF AUSTIN",0
216,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",6
216,"J.E. ""Jeb"" Boyt","DISTRICT 7, AUSTIN CITY COUNCIL, CITY OF AUSTIN",0
216,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",9
216,Leslie Pool,"DISTRICT 7, AUSTIN CITY COUNCIL, CITY OF AUSTIN",0
216,Mike Martinez,"MAYOR, CITY OF AUSTIN",0
216,Steve Adler,"MAYOR, CITY OF AUSTIN",0
217,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",141
217,"Gregorio ""Greg"" Casar","DISTRICT 4, AUSTIN CITY COUNCIL, CITY OF AUSTIN",218
217,Hillary Procknow,"AT LARGE POSITION 9, AISD",95
217,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",124
217,Kendall Pace,"AT LARGE POSITION 9, AISD",167
217,Laura Pressley,"DISTRICT 4, AUSTIN CITY COUNCIL, CITY OF AUSTIN",151
217,Mike Martinez,"MAYOR, CITY OF AUSTIN",161
217,Steve Adler,"MAYOR, CITY OF AUSTIN",215
218,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",119
218,"Gregorio ""Greg"" Casar","DISTRICT 4, AUSTIN CITY COUNCIL, CITY OF AUSTIN",0
218,Hillary Procknow,"AT LARGE POSITION 9, AISD",42
218,"J.E. ""Jeb"" Boyt","DISTRICT 7, AUSTIN CITY COUNCIL, CITY OF AUSTIN",93
218,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",134
218,Kendall Pace,"AT LARGE POSITION 9, AISD",80
218,Laura Pressley,"DISTRICT 4, AUSTIN CITY COUNCIL, CITY OF AUSTIN",0
218,Leslie Pool,"DISTRICT 7, AUSTIN CITY COUNCIL, CITY OF AUSTIN",210
218,Mike Martinez,"MAYOR, CITY OF AUSTIN",117
218,Steve Adler,"MAYOR, CITY OF AUSTIN",210
219,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",0
219,"J.E. ""Jeb"" Boyt","DISTRICT 7, AUSTIN CITY COUNCIL, CITY OF AUSTIN",0
219,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",0
219,Leslie Pool,"DISTRICT 7, AUSTIN CITY COUNCIL, CITY OF AUSTIN",0
219,Mike Martinez,"MAYOR, CITY OF AUSTIN",0
219,Steve Adler,"MAYOR, CITY OF AUSTIN",0
220,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",187
220,Hillary Procknow,"AT LARGE POSITION 9, AISD",93
220,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",192
220,Kendall Pace,"AT LARGE POSITION 9, AISD",325
220,Mandy Dealey,"DISTRICT 10, AUSTIN CITY COUNCIL, CITY OF AUSTIN",267
220,Mike Martinez,"MAYOR, CITY OF AUSTIN",109
220,Sheri Gallo,"DISTRICT 10, AUSTIN CITY COUNCIL, CITY OF AUSTIN",325
220,Steve Adler,"MAYOR, CITY OF AUSTIN",491
221,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",56
221,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",22
221,Mandy Dealey,"DISTRICT 10, AUSTIN CITY COUNCIL, CITY OF AUSTIN",34
221,Mike Martinez,"MAYOR, CITY OF AUSTIN",12
221,Sheri Gallo,"DISTRICT 10, AUSTIN CITY COUNCIL, CITY OF AUSTIN",89
221,Steve Adler,"MAYOR, CITY OF AUSTIN",117
222,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",210
222,"Gregorio ""Greg"" Casar","DISTRICT 4, AUSTIN CITY COUNCIL, CITY OF AUSTIN",311
222,Hillary Procknow,"AT LARGE POSITION 9, AISD",176
222,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",216
222,Kendall Pace,"AT LARGE POSITION 9, AISD",241
222,Laura Pressley,"DISTRICT 4, AUSTIN CITY COUNCIL, CITY OF AUSTIN",232
222,Mike Martinez,"MAYOR, CITY OF AUSTIN",193
222,Steve Adler,"MAYOR, CITY OF AUSTIN",343
223,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",59
223,"Gregorio ""Greg"" Casar","DISTRICT 4, AUSTIN CITY COUNCIL, CITY OF AUSTIN",74
223,Hillary Procknow,"AT LARGE POSITION 9, AISD",31
223,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",36
223,Kendall Pace,"AT LARGE POSITION 9, AISD",60
223,Laura Pressley,"DISTRICT 4, AUSTIN CITY COUNCIL, CITY OF AUSTIN",38
223,Mike Martinez,"MAYOR, CITY OF AUSTIN",48
223,Steve Adler,"MAYOR, CITY OF AUSTIN",63
224,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",13
224,"Gregorio ""Greg"" Casar","DISTRICT 4, AUSTIN CITY COUNCIL, CITY OF AUSTIN",14
224,Hillary Procknow,"AT LARGE POSITION 9, AISD",5
224,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",3
224,Kendall Pace,"AT LARGE POSITION 9, AISD",12
224,Laura Pressley,"DISTRICT 4, AUSTIN CITY COUNCIL, CITY OF AUSTIN",10
224,Mike Martinez,"MAYOR, CITY OF AUSTIN",7
224,Steve Adler,"MAYOR, CITY OF AUSTIN",15
225,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",47
225,"J.E. ""Jeb"" Boyt","DISTRICT 7, AUSTIN CITY COUNCIL, CITY OF AUSTIN",0
225,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",32
225,Leslie Pool,"DISTRICT 7, AUSTIN CITY COUNCIL, CITY OF AUSTIN",0
225,Mike Martinez,"MAYOR, CITY OF AUSTIN",0
225,Steve Adler,"MAYOR, CITY OF AUSTIN",0
226,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",55
226,"J.E. ""Jeb"" Boyt","DISTRICT 7, AUSTIN CITY COUNCIL, CITY OF AUSTIN",39
226,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",53
226,Leslie Pool,"DISTRICT 7, AUSTIN CITY COUNCIL, CITY OF AUSTIN",80
226,Mike Martinez,"MAYOR, CITY OF AUSTIN",36
226,Steve Adler,"MAYOR, CITY OF AUSTIN",97
227,DeWayne Lofton,"DISTRICT 1, AUSTIN CITY COUNCIL, CITY OF AUSTIN",0
227,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",1
227,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",3
227,Mike Martinez,"MAYOR, CITY OF AUSTIN",0
227,Ora Houston,"DISTRICT 1, AUSTIN CITY COUNCIL, CITY OF AUSTIN",4
227,Steve Adler,"MAYOR, CITY OF AUSTIN",5
228,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",104
228,Hillary Procknow,"AT LARGE POSITION 9, AISD",68
228,"J.E. ""Jeb"" Boyt","DISTRICT 7, AUSTIN CITY COUNCIL, CITY OF AUSTIN",91
228,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",85
228,Kendall Pace,"AT LARGE POSITION 9, AISD",127
228,Leslie Pool,"DISTRICT 7, AUSTIN CITY COUNCIL, CITY OF AUSTIN",165
228,Mike Martinez,"MAYOR, CITY OF AUSTIN",64
228,Steve Adler,"MAYOR, CITY OF AUSTIN",223
229,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",17
229,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",21
231,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",336
231,Hillary Procknow,"AT LARGE POSITION 9, AISD",166
231,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",322
231,Kendall Pace,"AT LARGE POSITION 9, AISD",482
231,Mandy Dealey,"DISTRICT 10, AUSTIN CITY COUNCIL, CITY OF AUSTIN",410
231,Mike Martinez,"MAYOR, CITY OF AUSTIN",197
231,Sheri Gallo,"DISTRICT 10, AUSTIN CITY COUNCIL, CITY OF AUSTIN",578
231,Steve Adler,"MAYOR, CITY OF AUSTIN",798
232,Don Zimmerman,"DISTRICT 6, AUSTIN CITY COUNCIL, CITY OF AUSTIN",13
232,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",111
232,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",90
232,"James ""Jimmy"" Flannigan","DISTRICT 6, AUSTIN CITY COUNCIL, CITY OF AUSTIN",9
232,Mike Martinez,"MAYOR, CITY OF AUSTIN",4
232,Steve Adler,"MAYOR, CITY OF AUSTIN",21
233,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",194
233,Hillary Procknow,"AT LARGE POSITION 9, AISD",50
233,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",157
233,Kendall Pace,"AT LARGE POSITION 9, AISD",112
233,Mandy Dealey,"DISTRICT 10, AUSTIN CITY COUNCIL, CITY OF AUSTIN",175
233,Mike Martinez,"MAYOR, CITY OF AUSTIN",103
233,Sheri Gallo,"DISTRICT 10, AUSTIN CITY COUNCIL, CITY OF AUSTIN",362
233,Steve Adler,"MAYOR, CITY OF AUSTIN",445
234,Don Zimmerman,"DISTRICT 6, AUSTIN CITY COUNCIL, CITY OF AUSTIN",352
234,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",164
234,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",135
234,"James ""Jimmy"" Flannigan","DISTRICT 6, AUSTIN CITY COUNCIL, CITY OF AUSTIN",147
234,Mike Martinez,"MAYOR, CITY OF AUSTIN",63
234,Steve Adler,"MAYOR, CITY OF AUSTIN",428
235,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",129
235,Hillary Procknow,"AT LARGE POSITION 9, AISD",66
235,"J.E. ""Jeb"" Boyt","DISTRICT 7, AUSTIN CITY COUNCIL, CITY OF AUSTIN",106
235,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",109
235,Kendall Pace,"AT LARGE POSITION 9, AISD",158
235,Leslie Pool,"DISTRICT 7, AUSTIN CITY COUNCIL, CITY OF AUSTIN",236
235,Mike Martinez,"MAYOR, CITY OF AUSTIN",172
235,Steve Adler,"MAYOR, CITY OF AUSTIN",183
236,Gigi Edwards Bryant,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",228
236,Hillary Procknow,"AT LARGE POSITION 9, AISD",175
236,"J.E. ""Jeb"" Boyt","DISTRICT 7, AUSTIN CITY COUNCIL, CITY OF AUSTIN",255
236,Jade Chang Sheppard,"PLACE 2, ACC TRUSTEE, AUSTIN COMMUNITY COLLEGE DISTRICT",267
